id,name,createdAt,updatedAt
9e6aad48-c434-4c3d-85f9-ce68701c7213,Bills and Utilities/Housing,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
82cf28b0-c62e-4e9b-854f-7bb716535124,Bills and Utilities/Subscriptions,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
658f543f-d1b9-46b8-983d-752b6aafd924,Bills and Utilities/Utilities,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
a1a9bae0-110b-47da-9842-8e6c714d485b,Auto and Transport,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
48bdb28d-05be-4822-9047-22889684cf5b,Groceries/Home,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
009e7974-af05-4ee8-ba64-bf7d09332cd3,Groceries/Pets,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
ee6f1893-67c3-4098-a1dc-044b4dbfa054,Medical,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
a952cda0-9e3e-42b2-a9e9-e6db70874c19,Health and Wellness/Personal Care,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
507b834b-afea-43b3-beff-33a818b23418,Health and Wellness/Family Care,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
6bf945e4-cb4e-4870-a23e-429d54936817,Loan Payment,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
cd6bbc95-e8ee-4529-9d89-adcfb0a5bd63,Dining and Drinks,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
4a40fa82-4544-4fad-90eb-8001012d6e7b,Recreation and Entertainment/Shopping,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
90254c85-6bff-4c6c-93be-b6d50353748a,Recreation and Entertainment/Travel and Vacation,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
faed4327-3a9c-4837-a337-c54e9704d60f,External Account,2024-04-28 01:59:37.244+00,2024-04-28 01:59:37.244+00
